,gvkey,data_date,data_year_month,file_year_month,type,international_count,rev_growth_count,rev_slow_count,expense_growth_count,expense_slow_count,lm_positive_count,lm_negative_count,lm_uncertainty_count,lm_litigious_count
35,1045,6/1/2009,2009-06,2009-07,10-Q,52,7,34,15,37,131,984,483,792
36,1045,10/1/2009,2009-10,2009-10,10-Q,50,7,32,13,39,94,621,325,300
37,1045,12/1/2009,2009-12,2010-02,10-K,176,15,30,38,35,219,1703,673,892
38,1045,3/1/2010,2010-03,2010-04,10-Q,54,12,3,17,5,59,384,155,241
39,1045,6/1/2010,2010-06,2010-07,10-Q,40,21,3,24,5,49,584,243,322
40,1045,9/1/2010,2010-09,2010-10,10-Q,44,22,2,21,7,61,358,175,223
41,1045,12/1/2010,2010-12,2011-02,10-K,208,24,16,44,31,231,1751,782,1227
42,1045,3/1/2011,2011-03,2011-04,10-Q,43,16,2,19,6,55,537,248,336
43,1045,6/1/2011,2011-06,2011-07,10-Q,50,25,2,32,7,48,517,243,307
44,1045,9/1/2011,2011-09,2011-10,10-Q,81,27,9,45,20,94,6135,1212,4618
45,1045,12/1/2011,2011-12,2012-02,10-K,211,35,14,45,28,370,1638,959,998
46,1045,3/1/2012,2012-03,2012-04,10-Q,43,9,5,16,10,101,819,326,545
47,1045,6/1/2012,2012-06,2012-07,10-Q,56,14,7,19,14,116,908,382,681
48,1045,9/1/2012,2012-09,2012-10,10-Q,49,14,8,18,15,121,942,383,689
49,1045,12/1/2012,2012-12,2013-02,10-K,218,34,18,48,30,325,1562,1024,983
50,1045,3/1/2013,2013-03,2013-04,10-Q,40,9,4,11,8,135,1854,706,2248
51,1045,6/1/2013,2013-06,2013-07,10-Q,51,7,11,14,11,244,3733,1593,9731
52,1045,9/1/2013,2013-09,2013-10,10-Q,92,24,12,34,19,196,1069,732,725
53,1045,12/1/2013,2013-12,2014-02,10-K,349,28,20,81,45,493,2676,1682,3173
54,1045,3/1/2014,2014-03,2014-04,10-Q,166,22,7,44,27,194,1690,877,1545
55,1045,6/1/2014,2014-06,2014-07,10-Q,168,35,14,61,20,196,1501,854,1148
56,1045,9/1/2014,2014-09,2014-10,10-Q,162,35,15,60,33,197,1351,832,786
57,1045,12/1/2014,2014-12,2015-02,10-K,452,44,21,105,64,446,2577,1520,1795
58,1045,3/1/2015,2015-03,2015-04,10-Q,217,15,13,41,39,174,1354,874,851
59,1045,6/1/2015,2015-06,2015-07,10-Q,223,10,28,58,40,374,4943,2209,11189
60,1045,9/1/2015,2015-09,2015-10,10-Q,253,11,28,60,43,192,1326,918,862
61,1045,12/1/2015,2015-12,2016-02,10-K,381,33,33,83,69,339,2221,1412,1983
62,1045,3/1/2016,2016-03,2016-04,10-Q,115,7,15,38,19,122,964,658,574
63,1045,6/1/2016,2016-06,2016-07,10-Q,132,7,20,42,26,302,3382,1751,8408
64,1045,9/1/2016,2016-09,2016-10,10-Q,145,10,26,48,25,139,1386,1005,2329
65,1045,12/1/2016,2016-12,2017-02,10-K,321,23,24,71,39,504,4514,2386,11962
66,1045,3/1/2017,2017-03,2017-04,10-Q,107,21,7,55,7,438,1742,806,3077
67,1045,6/1/2017,2017-06,2017-07,10-Q,105,46,9,77,7,121,933,622,1000
68,1045,9/1/2017,2017-09,2017-10,10-Q,123,44,13,75,9,129,869,624,1121
69,1045,12/1/2017,2017-12,2018-02,10-K,318,43,30,81,41,267,1555,1200,2376
70,1045,3/1/2018,2018-03,2018-04,10-Q,120,32,5,48,14,122,818,623,654
71,1045,6/1/2018,2018-06,2018-07,10-Q,160,45,7,55,12,141,1102,783,1075
72,1045,9/1/2018,2018-09,2018-10,10-Q,159,52,7,51,18,134,867,657,785
73,1045,12/1/2018,2018-12,2019-02,10-K,395,62,28,72,39,246,1431,1153,1893
74,1045,3/1/2019,2019-03,2019-04,10-Q,159,21,15,46,9,120,841,627,453
75,1045,6/1/2019,2019-06,2019-07,10-Q,197,33,19,55,20,138,1517,716,1099
76,1045,9/1/2019,2019-09,2019-10,10-Q,195,26,23,60,28,134,928,620,509
77,1045,12/1/2019,2019-12,2020-02,10-K,391,35,23,56,37,219,1410,999,1768
78,1045,3/1/2020,2020-03,2020-04,10-Q,150,8,64,44,52,357,4194,2052,10546
79,1045,6/1/2020,2020-06,2020-07,10-Q,185,16,67,40,51,170,1112,821,546
80,1045,9/1/2020,2020-09,2020-10,10-Q,190,13,71,40,53,474,4317,2143,8265
81,1045,12/1/2020,2020-12,2021-02,10-K,427,20,75,48,79,575,15648,3385,14055
82,1045,3/1/2021,2021-03,2021-04,10-Q,149,11,47,41,36,402,3938,1836,7573
83,1045,6/1/2021,2021-06,2021-07,10-Q,155,45,34,63,35,233,1785,1101,2093
84,1045,9/1/2021,2021-09,2021-10,10-Q,162,42,34,68,33,198,1172,881,565
85,1075,9/1/2000,2000-09,2000-11,10-Q,3,14,3,9,6,27,118,110,328
86,1075,12/1/2000,2000-12,2001-03,10-K,25,17,7,10,5,107,303,324,772
87,1075,3/1/2001,2001-03,2001-05,10-Q,2,14,4,8,4,33,108,119,206
88,1075,6/1/2001,2001-06,2001-08,10-Q,2,10,2,13,6,43,130,122,214
89,1075,9/1/2001,2001-09,2001-11,10-Q,2,11,2,11,5,40,121,134,205
90,1075,3/1/2002,2002-03,2002-05,10-Q,2,5,6,11,9,71,243,198,546
91,1075,6/1/2002,2002-06,2002-08,10-Q,3,10,11,14,19,73,202,200,257
92,1075,9/1/2002,2002-09,2002-11,10-Q,4,7,8,14,27,139,606,583,854
93,1075,12/1/2002,2002-12,2003-03,10-K,28,15,5,22,14,167,714,742,2039
94,1075,3/1/2003,2003-03,2003-05,10-Q,5,11,4,17,6,95,760,588,957
95,1075,6/1/2003,2003-06,2003-08,10-Q,4,18,3,24,6,81,523,438,1165
96,1075,9/1/2003,2003-09,2003-11,10-Q,6,26,5,15,3,79,465,416,677
97,1075,12/1/2003,2003-12,2004-03,10-K,22,20,11,17,7,179,776,841,1486
98,1075,3/1/2004,2004-03,2004-05,10-Q,2,13,5,11,3,60,321,360,358
99,1075,6/1/2004,2004-06,2004-08,10-Q,3,18,6,12,4,192,1260,750,2212
100,1075,9/1/2004,2004-09,2004-11,10-Q,3,18,1,12,7,124,795,632,1556
101,1075,12/1/2004,2004-12,2005-03,10-K,22,26,4,18,11,443,2711,1511,4911
102,1075,3/1/2005,2005-03,2005-05,10-Q,3,14,1,11,1,173,607,590,784
103,1075,6/1/2005,2005-06,2005-08,10-Q,3,20,6,16,2,145,1611,898,2795
104,1075,9/1/2005,2005-09,2005-11,10-Q,3,23,5,25,3,91,470,528,473
105,1075,12/1/2005,2005-12,2006-03,10-K,17,21,9,33,14,605,2956,1638,7801
106,1075,3/1/2006,2006-03,2006-05,10-Q,2,16,3,19,8,58,307,295,237
107,1075,6/1/2006,2006-06,2006-08,10-Q,2,26,3,23,6,59,358,314,423
108,1075,9/1/2006,2006-09,2006-11,10-Q,4,27,6,28,6,240,850,547,1613
109,1075,12/1/2006,2006-12,2007-02,10-K,19,24,13,37,14,145,687,657,807
110,1075,3/1/2007,2007-03,2007-05,10-Q,4,18,4,22,3,59,389,354,414
111,1075,6/1/2007,2007-06,2007-08,10-Q,4,21,8,19,1,60,323,310,314
112,1075,9/1/2007,2007-09,2007-11,10-Q,5,27,6,17,1,110,664,388,1020
113,1075,12/1/2007,2007-12,2008-02,10-K,31,26,11,30,12,155,663,634,862
114,1075,3/1/2008,2008-03,2008-05,10-Q,4,14,3,15,2,47,265,274,248
115,1075,6/1/2008,2008-06,2008-08,10-Q,4,22,6,15,6,103,353,316,412
116,1075,9/1/2008,2008-09,2008-11,10-Q,4,22,10,11,6,68,289,299,299
117,1075,12/1/2008,2008-12,2009-02,10-K,35,27,9,22,14,265,1347,1107,1819
118,1075,3/1/2009,2009-03,2009-05,10-Q,4,17,4,11,16,133,491,386,516
119,1075,6/1/2009,2009-06,2009-08,10-Q,5,12,10,9,8,83,413,390,314
120,1075,9/1/2009,2009-09,2009-10,10-Q,2,18,6,22,10,109,378,388,320
121,1075,12/1/2009,2009-12,2010-02,10-K,41,22,12,31,21,663,2205,1477,4428
122,1075,3/1/2010,2010-03,2010-05,10-Q,2,10,4,13,13,189,2013,793,3350
123,1075,6/1/2010,2010-06,2010-08,10-Q,0,19,4,8,13,161,609,514,672
124,1075,9/1/2010,2010-09,2010-10,10-Q,4,20,6,7,12,112,368,353,274
125,1075,12/1/2010,2010-12,2011-02,10-K,47,17,13,26,21,454,1436,1112,2589
126,1075,3/1/2011,2011-03,2011-04,10-Q,8,11,3,10,6,170,1456,635,2502
127,1075,6/1/2011,2011-06,2011-08,10-Q,6,14,9,13,4,103,322,306,322
128,1075,9/1/2011,2011-09,2011-11,10-Q,9,15,5,10,5,101,349,323,323
129,1075,3/1/2012,2012-03,2012-05,10-Q,6,7,4,8,4,114,451,364,505
130,1075,6/1/2012,2012-06,2012-08,10-Q,4,9,5,9,5,83,364,347,423
131,1075,9/1/2012,2012-09,2012-11,10-Q,4,11,8,11,5,84,334,342,331
132,1075,12/1/2012,2012-12,2013-02,10-K,48,16,12,31,20,279,1508,1078,2566
133,1075,3/1/2013,2013-03,2013-05,10-Q,4,9,4,8,3,336,1007,679,2102
134,1075,6/1/2013,2013-06,2013-08,10-Q,5,10,3,9,6,94,387,363,357
135,1075,9/1/2013,2013-09,2013-10,10-Q,12,11,4,14,9,98,385,376,355
136,1075,12/1/2013,2013-12,2014-02,10-K,56,18,10,35,32,260,1021,906,1175
137,1075,3/1/2014,2014-03,2014-05,10-Q,15,10,2,11,5,114,415,364,734
138,1075,6/1/2014,2014-06,2014-07,10-Q,14,13,4,14,6,602,1739,1052,4154
139,1075,9/1/2014,2014-09,2014-10,10-Q,13,10,5,14,14,99,370,356,363
140,1075,12/1/2014,2014-12,2015-02,10-K,72,21,10,38,31,337,1684,1422,3831
141,1075,3/1/2015,2015-03,2015-05,10-Q,15,13,5,12,3,104,340,370,372
142,1075,6/1/2015,2015-06,2015-07,10-Q,17,12,8,15,3,146,853,594,1838
143,1075,9/1/2015,2015-09,2015-10,10-Q,19,18,4,15,5,363,1096,771,2519
144,1075,12/1/2015,2015-12,2016-02,10-K,71,23,7,35,21,290,1185,1048,1641
145,1075,3/1/2016,2016-03,2016-04,10-Q,11,15,2,13,3,141,839,584,1734
146,1075,6/1/2016,2016-06,2016-08,10-Q,11,18,4,17,9,611,1760,1085,4172
147,1075,9/1/2016,2016-09,2016-11,10-Q,9,18,4,16,11,361,1078,708,2223
148,1075,12/1/2016,2016-12,2017-02,10-K,49,24,9,35,25,289,1103,1006,1389
149,1075,3/1/2017,2017-03,2017-05,10-Q,7,12,8,9,7,142,531,487,770
150,1075,6/1/2017,2017-06,2017-08,10-Q,6,15,4,13,8,382,1271,814,3001
151,1075,9/1/2017,2017-09,2017-11,10-Q,5,18,6,13,6,127,464,400,594
152,1075,12/1/2017,2017-12,2018-02,10-K,44,25,12,36,26,291,1101,987,1503
153,1075,3/1/2018,2018-03,2018-05,10-Q,5,13,9,12,15,122,496,411,648
154,1075,6/1/2018,2018-06,2018-08,10-Q,9,14,11,15,17,1042,3805,1829,10048
155,1075,9/1/2018,2018-09,2018-11,10-Q,9,18,10,15,17,98,372,310,472
156,1075,12/1/2018,2018-12,2019-02,10-K,52,25,19,39,22,272,1502,1062,2842
157,1075,3/1/2019,2019-03,2019-05,10-Q,11,11,12,7,10,135,988,544,2063
158,1075,6/1/2019,2019-06,2019-08,10-Q,11,10,14,8,15,131,899,526,1947
159,1075,9/1/2019,2019-09,2019-11,10-Q,11,15,12,9,18,102,489,338,592
160,1075,12/1/2019,2019-12,2020-02,10-K,51,22,14,30,21,247,917,806,1124
161,1075,3/1/2020,2020-03,2020-05,10-Q,13,14,13,16,10,134,927,552,1855
162,1075,6/1/2020,2020-06,2020-08,10-Q,16,11,14,23,9,92,376,311,272
163,1075,9/1/2020,2020-09,2020-10,10-Q,17,16,15,24,9,104,420,334,329
164,1075,12/1/2020,2020-12,2021-02,10-K,78,31,21,44,22,331,1281,978,1573
165,1075,3/1/2021,2021-03,2021-05,10-Q,12,17,18,18,10,119,387,323,414
166,1075,6/1/2021,2021-06,2021-08,10-Q,13,24,22,22,15,1077,3410,1606,8541
167,1075,9/1/2021,2021-09,2021-11,10-Q,17,27,25,30,14,121,486,379,422
168,1078,6/1/2000,2000-06,2000-08,10-Q,17,7,1,2,1,55,218,153,615
169,1078,9/1/2000,2000-09,2000-11,10-Q,17,11,3,2,1,17,95,48,114
170,1078,12/1/2000,2000-12,2001-02,10-K,156,5,0,7,7,192,978,417,2143
171,1078,3/1/2001,2001-03,2001-05,10-Q,35,6,2,5,1,33,210,120,442
172,1078,6/1/2001,2001-06,2001-08,10-Q,30,5,0,5,1,26,186,98,325
173,1078,9/1/2001,2001-09,2001-11,10-Q,37,2,0,5,2,57,267,202,490
174,1078,3/1/2002,2002-03,2002-05,10-Q,20,2,1,3,0,24,208,152,546
175,1078,6/1/2002,2002-06,2002-08,10-Q,20,2,2,1,2,23,225,106,457
176,1078,9/1/2002,2002-09,2002-11,10-Q,24,2,2,0,3,23,293,172,431
177,1078,12/1/2002,2002-12,2003-02,10-K,219,1,7,7,9,128,632,384,951
178,1078,3/1/2003,2003-03,2003-05,10-Q,19,6,1,2,1,38,338,182,758
179,1078,6/1/2003,2003-06,2003-08,10-Q,29,7,2,6,1,173,793,464,2044
180,1078,9/1/2003,2003-09,2003-11,10-Q,33,8,2,5,1,24,271,129,256
181,1078,3/1/2004,2004-03,2004-04,10-Q,24,7,1,4,1,3,184,100,145
182,1078,6/1/2004,2004-06,2004-08,10-Q,26,8,0,3,7,19,216,152,188
183,1078,9/1/2004,2004-09,2004-11,10-Q,33,8,1,3,5,42,273,244,398
184,1078,12/1/2004,2004-12,2005-03,10-K,211,7,8,11,15,128,664,561,1067
185,1078,3/1/2005,2005-03,2005-05,10-Q,28,7,3,3,2,17,208,124,197
186,1078,6/1/2005,2005-06,2005-08,10-Q,36,7,2,3,5,10,187,140,162
187,1078,9/1/2005,2005-09,2005-11,10-Q,35,7,3,3,3,10,182,153,134
188,1078,12/1/2005,2005-12,2006-02,10-K,200,8,14,11,12,168,1162,679,1877
189,1078,3/1/2006,2006-03,2006-05,10-Q,38,3,5,5,2,32,170,139,367
190,1078,6/1/2006,2006-06,2006-08,10-Q,41,8,6,8,2,91,1094,418,2489
191,1078,9/1/2006,2006-09,2006-11,10-Q,35,11,5,6,2,30,186,161,118
192,1078,12/1/2006,2006-12,2007-02,10-K,178,7,14,13,14,173,1514,848,2667
193,1078,3/1/2007,2007-03,2007-05,10-Q,22,13,7,4,4,21,188,96,106
194,1078,6/1/2007,2007-06,2007-08,10-Q,26,14,7,4,4,34,199,120,115
195,1078,9/1/2007,2007-09,2007-11,10-Q,31,15,6,3,4,27,151,117,74
196,1078,12/1/2007,2007-12,2008-02,10-K,178,13,17,15,13,152,689,521,423
197,1078,3/1/2008,2008-03,2008-05,10-Q,23,20,4,2,4,32,955,337,1637
198,1078,6/1/2008,2008-06,2008-07,10-Q,28,14,2,3,3,35,180,135,88
199,1078,9/1/2008,2008-09,2008-11,10-Q,29,16,2,4,6,40,171,150,97
200,1078,12/1/2008,2008-12,2009-02,10-K,168,18,15,17,15,358,1632,968,3227
201,1078,3/1/2009,2009-03,2009-05,10-Q,47,19,10,5,6,71,307,225,745
202,1078,6/1/2009,2009-06,2009-08,10-Q,55,17,8,3,8,27,191,124,154
203,1078,9/1/2009,2009-09,2009-11,10-Q,54,18,7,7,7,124,1215,425,1924
204,1078,12/1/2009,2009-12,2010-02,10-K,186,22,15,13,14,258,1152,750,2286
205,1078,6/1/2010,2010-06,2010-08,10-Q,68,16,7,3,9,34,166,163,139
206,1078,9/1/2010,2010-09,2010-11,10-Q,69,16,9,5,11,44,214,199,143
207,1078,12/1/2010,2010-12,2011-02,10-K,215,20,15,16,19,190,734,583,594
208,1078,3/1/2011,2011-03,2011-05,10-Q,74,16,1,5,13,26,150,142,193
209,1078,6/1/2011,2011-06,2011-08,10-Q,81,24,1,6,16,34,185,160,140
210,1078,9/1/2011,2011-09,2011-11,10-Q,76,14,1,4,17,35,159,148,123
211,1078,12/1/2011,2011-12,2012-02,10-K,240,19,12,18,24,222,748,592,642
212,1078,3/1/2012,2012-03,2012-05,10-Q,57,19,9,4,10,46,159,99,157
213,1078,12/1/2012,2012-12,2013-02,10-K,226,20,15,13,27,376,1290,906,2803
214,1078,3/1/2013,2013-03,2013-05,10-Q,63,6,15,0,17,26,109,111,77
215,1078,6/1/2013,2013-06,2013-08,10-Q,69,6,25,0,17,33,128,117,80
216,1078,12/1/2013,2013-12,2014-02,10-K,238,24,17,7,26,381,3574,1932,5911
217,1078,3/1/2014,2014-03,2014-05,10-Q,73,3,7,2,16,62,197,219,346
218,1078,6/1/2014,2014-06,2014-08,10-Q,80,7,5,3,16,71,827,288,1393
219,1078,9/1/2014,2014-09,2014-11,10-Q,91,11,4,2,19,106,1006,414,2148
220,1078,12/1/2014,2014-12,2015-02,10-K,260,25,17,10,27,301,1078,903,1792
221,1078,3/1/2015,2015-03,2015-05,10-Q,84,12,3,2,17,40,113,212,61
222,1078,6/1/2015,2015-06,2015-08,10-Q,95,13,2,3,15,46,132,229,63
223,1078,9/1/2015,2015-09,2015-11,10-Q,96,12,2,4,15,47,158,253,75
224,1078,12/1/2015,2015-12,2016-02,10-K,290,24,11,13,23,213,572,702,376
225,1078,3/1/2016,2016-03,2016-05,10-Q,129,13,2,3,19,60,155,157,68
226,1078,6/1/2016,2016-06,2016-08,10-Q,150,14,3,7,18,67,190,191,79
227,1078,9/1/2016,2016-09,2016-11,10-Q,137,13,4,5,22,68,209,181,96
228,1078,12/1/2016,2016-12,2017-02,10-K,295,30,14,14,24,407,2584,1372,5318
229,1078,3/1/2017,2017-03,2017-05,10-Q,112,9,3,2,11,66,266,294,543
230,1078,6/1/2017,2017-06,2017-08,10-Q,139,13,5,3,11,58,158,227,78
231,1078,9/1/2017,2017-09,2017-11,10-Q,128,13,4,3,13,274,1396,641,2949
232,1078,12/1/2017,2017-12,2018-02,10-K,307,38,13,19,21,312,1736,1078,2901
233,1078,3/1/2018,2018-03,2018-05,10-Q,83,16,3,5,10,49,139,179,89
234,1078,6/1/2018,2018-06,2018-08,10-Q,89,17,3,5,10,51,157,183,93
235,1078,9/1/2018,2018-09,2018-10,10-Q,89,14,5,6,9,58,154,159,90
236,1078,12/1/2018,2018-12,2019-02,10-K,288,46,17,21,23,392,1287,846,1864
237,1078,3/1/2019,2019-03,2019-05,10-Q,79,15,6,3,14,27,122,102,67
238,1078,6/1/2019,2019-06,2019-07,10-Q,102,13,10,3,14,33,112,84,58
239,1078,9/1/2019,2019-09,2019-10,10-Q,106,13,7,4,14,35,114,78,60
240,1078,12/1/2019,2019-12,2020-02,10-K,311,53,18,19,31,209,808,681,906
241,1078,3/1/2020,2020-03,2020-04,10-Q,100,12,6,2,10,21,122,100,49
242,1078,6/1/2020,2020-06,2020-07,10-Q,111,12,11,0,15,33,119,95,56
243,1078,9/1/2020,2020-09,2020-11,10-Q,109,13,9,1,14,33,128,101,62
244,1078,12/1/2020,2020-12,2021-02,10-K,297,39,30,19,23,408,2642,1299,4568
245,1078,3/1/2021,2021-03,2021-05,10-Q,100,20,4,4,5,20,92,86,53
246,1078,6/1/2021,2021-06,2021-08,10-Q,112,28,5,5,5,19,109,87,51
247,1078,9/1/2021,2021-09,2021-11,10-Q,112,31,4,5,7,19,113,102,57
248,1161,4/1/2001,2001-04,2001-05,10-Q,57,15,19,8,5,90,237,192,57
249,1161,7/1/2001,2001-07,2001-08,10-Q,54,8,29,12,2,112,502,235,513
250,1161,9/1/2001,2001-09,2001-11,10-Q,58,10,23,8,11,86,376,175,130
251,1161,12/1/2001,2001-12,2002-03,10-K,72,5,2,3,2,316,1483,826,2726
252,1161,3/1/2002,2002-03,2002-05,10-Q,46,12,21,8,10,105,506,257,295
253,1161,6/1/2002,2002-06,2002-08,10-Q,52,12,30,5,13,162,1514,690,3684
254,1161,9/1/2002,2002-09,2002-11,10-Q,58,16,25,10,20,192,1197,506,1880
255,1161,12/1/2002,2002-12,2003-03,10-K,190,18,33,14,21,281,1762,917,2834
256,1161,3/1/2003,2003-03,2003-05,10-Q,64,18,15,7,15,116,442,307,61
257,1161,6/1/2003,2003-06,2003-08,10-Q,73,20,21,8,16,576,4658,1594,8876
258,1161,9/1/2003,2003-09,2003-11,10-Q,70,32,10,9,19,145,623,377,522
259,1161,12/1/2003,2003-12,2004-03,10-K,269,35,36,23,30,337,1540,866,2015
260,1161,3/1/2004,2004-03,2004-05,10-Q,157,27,15,12,10,494,2336,916,4074
261,1161,6/1/2004,2004-06,2004-08,10-Q,159,37,11,18,11,350,2377,1003,3859
262,1161,9/1/2004,2004-09,2004-11,10-Q,184,37,19,23,14,247,1085,632,1113
263,1161,12/1/2004,2004-12,2005-03,10-K,371,39,34,34,30,494,3192,1404,4397
264,1161,3/1/2005,2005-03,2005-05,10-Q,168,23,24,18,26,379,1230,618,1728
265,1161,9/1/2005,2005-09,2005-11,10-Q,287,49,30,31,26,259,1168,541,999
266,1161,12/1/2005,2005-12,2006-02,10-K,287,59,30,35,48,301,1158,798,650
267,1161,3/1/2006,2006-03,2006-05,10-Q,97,26,12,22,33,141,657,432,161
268,1161,7/1/2006,2006-07,2006-08,10-Q,96,40,21,32,32,206,901,657,590
269,1161,10/1/2006,2006-10,2006-11,10-Q,129,45,26,35,33,227,996,675,700
270,1161,12/1/2006,2006-12,2007-03,10-K,287,60,37,45,49,529,2200,1497,1590
271,1161,3/1/2007,2007-03,2007-05,10-Q,103,28,43,41,30,232,927,692,402
272,1161,6/1/2007,2007-06,2007-08,10-Q,101,32,41,48,29,181,718,558,209
273,1161,9/1/2007,2007-09,2007-11,10-Q,105,35,34,43,25,201,755,567,219
274,1161,12/1/2007,2007-12,2008-02,10-K,293,39,42,62,49,456,2116,1478,1590
275,1161,3/1/2008,2008-03,2008-05,10-Q,105,27,27,31,22,187,695,584,161
276,1161,6/1/2008,2008-06,2008-08,10-Q,112,45,28,32,40,202,1145,730,835
277,1161,9/1/2008,2008-09,2008-11,10-Q,128,52,21,23,61,479,2559,1031,3146
278,1161,12/1/2008,2008-12,2009-02,10-K,282,31,61,56,74,454,2151,1494,974
279,1161,3/1/2009,2009-03,2009-05,10-Q,115,15,45,12,35,179,921,576,258
280,1161,6/1/2009,2009-06,2009-08,10-Q,119,23,55,14,47,215,1235,791,817
281,1161,9/1/2009,2009-09,2009-11,10-Q,126,24,50,16,40,223,990,651,630
282,1161,12/1/2009,2009-12,2010-02,10-K,267,33,53,28,72,417,1682,1003,1094
283,1161,3/1/2010,2010-03,2010-05,10-Q,91,28,26,16,22,177,624,458,227
284,1161,6/1/2010,2010-06,2010-08,10-Q,107,38,25,37,29,247,1030,709,860
285,1161,9/1/2010,2010-09,2010-11,10-Q,106,33,30,36,32,212,684,494,251
286,1161,12/1/2010,2010-12,2011-02,10-K,236,33,35,23,51,442,1917,1203,2237
287,1161,4/1/2011,2011-04,2011-05,10-Q,91,18,28,24,11,221,677,524,503
288,1161,7/1/2011,2011-07,2011-08,10-Q,97,19,36,23,26,176,648,503,244
289,1161,3/1/2012,2012-03,2012-05,10-Q,65,16,24,12,23,191,653,492,367
290,1161,6/1/2012,2012-06,2012-08,10-Q,76,14,35,15,43,178,603,490,185
291,1161,9/1/2012,2012-09,2012-11,10-Q,71,12,42,15,44,225,787,587,426
292,1161,12/1/2012,2012-12,2013-02,10-K,192,14,41,28,53,365,1198,866,795
293,1161,3/1/2013,2013-03,2013-05,10-Q,63,17,28,21,27,325,1998,861,3037
294,1161,6/1/2013,2013-06,2013-08,10-Q,73,19,35,15,34,203,706,502,244
295,1161,9/1/2013,2013-09,2013-10,10-Q,77,19,38,26,37,222,675,498,186
296,1161,3/1/2014,2014-03,2014-05,10-Q,63,16,22,13,21,176,791,488,400
297,1161,6/1/2014,2014-06,2014-07,10-Q,71,20,23,17,20,184,743,479,266
298,1161,9/1/2014,2014-09,2014-10,10-Q,72,19,24,14,23,264,1277,900,1169
299,1161,12/1/2014,2014-12,2015-02,10-K,184,23,34,22,48,362,1392,915,784
300,1161,3/1/2015,2015-03,2015-04,10-Q,66,11,26,12,26,188,867,539,290
301,1161,6/1/2015,2015-06,2015-07,10-Q,68,13,35,10,35,241,1121,596,735
